size,internal_edges,external_edges,density,avg_clustering,diameter,avg_path_length,avg_degree,max_degree,modularity_contrib,conductance,community_id
19,144,0,0.8421052631578947,0.8684887180243218,2,1.2105263157894737,15.157894736842104,20,7.80427734682783e-05,0.0,187
12,74,0,1.121212121212121,0.9515151515151516,2,1.0606060606060606,12.333333333333334,13,4.0106835874674346e-05,0.0,188
23,185,0,0.7312252964426877,0.8531739360383862,2,1.3122529644268774,16.08695652173913,24,0.00010026105710921641,0.0,189
19,145,0,0.847953216374269,0.8761609907120743,2,1.2105263157894737,15.263157894736842,20,7.858469457619484e-05,0.0,190
2,3,0,3.0,0.0,1,1.0,3.0,3,1.6260153788491542e-06,0.0,63
12,75,0,1.1363636363636365,0.9727272727272727,2,1.0303030303030303,12.5,13,4.06487981104626e-05,0.0,65
14,95,0,1.043956043956044,0.9450549450549453,2,1.065934065934066,13.571428571428571,15,5.148791944261265e-05,0.0,34
21,165,0,0.7857142857142857,0.8621553884711779,2,1.2619047619047619,15.714285714285714,22,8.942299335091053e-05,0.0,99
13,78,0,1.0,0.8383061383061382,2,1.1666666666666667,12.0,14,4.227468129258124e-05,0.0,71
18,135,0,0.8823529411764706,0.8856209150326799,2,1.1830065359477124,15.0,19,7.316545705768331e-05,0.0,40
21,165,0,0.7857142857142857,0.8621553884711779,2,1.2619047619047619,15.714285714285714,22,8.942299335091053e-05,0.0,112
10,55,0,1.2222222222222223,1.0,1,1.0,11.0,11,2.9809441761902736e-05,0.0,17
18,119,0,0.7777777777777778,0.8195286195286197,2,1.3398692810457515,13.222222222222221,18,6.449455481953176e-05,0.0,51
1,1,0,0.0,0.0,0,0.0,2.0,2,5.420057138240758e-07,0.0,89
